,Fichero;Hash
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\174037-first-2015-sample-papers-1.zip,e60a9ba89705b8f145e5d5539f25a7c1952f251cd237ab349fbc9416f38951af
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\178516-first-2015-sample-paper-2.zip,790c88728c71853d41c9e80ac4df5ad1fa34471e8fc605b0b47c3ec053fb0431
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\CAMBRIDGE FCE-TRP JOURNEYS B2-students.pdf,054e57362e54408a09ec72a5dece4521e3ec3c21a8e38c6b9787948c6dfb1707
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\CONDITIONALS..pdf,e448863840cfeff47a80bb9407696666333dd3fdbca3d81ee1016709403b4d17
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\ConditionalsEJ7.pdf,0160c8d6407aedd38b83831b7273353b4ea1ac2b11b4fbfe897827398b732daf
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\ConditionalsEJ8.pdf,28fa193997cae0045d59ac2e6a6573ded93a1c605389fcb073d5d097aba4ecc7
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\DESCRIBIR UNA FOTO.pdf,1faa6ddf85a104b4a4997ee15c0fe9681aeb12387d2546ae8cfdb9a02a98d040
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\DESCRIPTION SECOND PICTURE.pdf,1392ca0008edf37c10a037273152f061c0caa4c163d096d509800ef9420166ac
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\cambridge-english-first-2015-sample-paper-1-answer-keys v2.pdf,100ddd02c29f73523323fe3f6daf3e761759af84b9b2c11f1eebed3c52ef2ac5
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\cambridge-english-first-2015-sample-paper-1-listening v2 2020-10-16 11_20_48.pdf,855e2e03cb195de5bae34ff2288d7d920a9bb50a4974d1496ee3026bfa4fef41
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\cambridge-english-first-2015-sample-paper-1-listening v2.pdf,31850f7b6f4fab75ee7e9e9386c02b84e15aed887a83037625d0ea6c349a4028
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\cambridge-english-first-2015-sample-paper-1-listening-audio-file v2.mp3,bac3b123dfc4b487ae8ec1c92c1ecf9b9c110a474d32e6b29b723c7fc2a3c119
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\cambridge-english-first-2015-sample-paper-1-reading-and-use-of-english v2.pdf,73dd1ba76b1f2bf81765daa0cf01be5a281001fb5715df3368ae49cffd9437da
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\cambridge-english-first-2015-sample-paper-1-speaking v2.pdf,5db571dffe2d90af1787c3f44d155b5544088104fb15e8845ac1f8a952a60535
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\cambridge-english-first-2015-sample-paper-1-writing v2.pdf,0b0274d4fa53b12c5b6f7151160a59977f3daa9480fa15a3d49e4ce6716b7da9
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\cambridge-english-first-2015-sample-paper-2-answer-keys v2.pdf,3501e04c6ebc20134c9d1b82e8ea0f81ee14db6e5d8ff8d0432212abaf3e976e
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\cambridge-english-first-2015-sample-paper-2-listening v2.pdf,12f2676f3f480061755802139449cacd39bd97a540614df473eb0c67289b649f
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\cambridge-english-first-2015-sample-paper-2-listening-audio-file-part-1 v2.mp3,231a86d6c24e643a6a683a5609cc1d9bdc473bc12eb87c864da0e7bfe89342ca
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\cambridge-english-first-2015-sample-paper-2-listening-audio-file-part-2 v2.mp3,c740b63720e9b03f04d632047400c1023bd92ca0b4f1545ff39c4095e32f16a9
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\cambridge-english-first-2015-sample-paper-2-listening-audio-file-part-3 v2.mp3,3407e389cb3306c751c6d491249090a56568ec1f18931909c3188cf08d2c488f
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\cambridge-english-first-2015-sample-paper-2-listening-audio-file-part-4 v2.mp3,a445e2caabad436c843125619411f3ea3a302c7a074acc89a14c87a39d28d960
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\cambridge-english-first-2015-sample-paper-2-reading-and-use-of-english v2.pdf,08b766f910b0967d436f29cd4520d26201d95115c7eda4fe761ce5741be274bd
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\cambridge-english-first-2015-sample-paper-2-speaking v2.pdf,cbcd4755aa27190873c5129071447dc960a96b7134d14cfebf6d65a6fd8d8c36
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\cambridge-english-first-2015-sample-paper-2-writing v2.pdf,196e8e0237aaf5ca4360359ec55e317a8f6f9dfb06352612738d3ec2033fbcf5
/Users/amine/OneDrive - UNIVERSIDAD DE SEVILLA/INGLES FIRST\fce-use-of-english-uebungen-tests-98.pdf,617813745b8fabf800babddffc56d89885772d6596a13e4b3041efea47a2773c
